Zone,Times,InCount,OutCount
Dublin BID,30/12/2013 00:00:00,181,352
Dublin BID,30/12/2013 01:00:00,46,123
Dublin BID,30/12/2013 02:00:00,22,47
Dublin BID,30/12/2013 03:00:00,5,35
Dublin BID,30/12/2013 04:00:00,7,26
Dublin BID,30/12/2013 05:00:00,41,15
Dublin BID,30/12/2013 06:00:00,216,62
Dublin BID,30/12/2013 07:00:00,614,227
Dublin BID,30/12/2013 08:00:00,1244,527
Dublin BID,30/12/2013 09:00:00,1194,699
Dublin BID,30/12/2013 10:00:00,1401,956
Dublin BID,30/12/2013 11:00:00,1471,1067
Dublin BID,30/12/2013 12:00:00,1845,1252
Dublin BID,30/12/2013 13:00:00,2195,1546
Dublin BID,30/12/2013 14:00:00,2068,1440
Dublin BID,30/12/2013 15:00:00,2089,1394
Dublin BID,30/12/2013 16:00:00,2059,1310
Dublin BID,30/12/2013 17:00:00,2098,1395
Dublin BID,30/12/2013 18:00:00,1890,1135
Dublin BID,30/12/2013 19:00:00,1297,842
Dublin BID,30/12/2013 20:00:00,789,631
Dublin BID,30/12/2013 21:00:00,651,510
Dublin BID,30/12/2013 22:00:00,628,411
Dublin BID,30/12/2013 23:00:00,324,320
South King St,30/12/2013 00:00:00,81,84
South King St,30/12/2013 01:00:00,60,50
South King St,30/12/2013 02:00:00,36,56
South King St,30/12/2013 03:00:00,39,27
South King St,30/12/2013 04:00:00,12,22
South King St,30/12/2013 05:00:00,28,26
South King St,30/12/2013 06:00:00,99,47
South King St,30/12/2013 07:00:00,197,116
South King St,30/12/2013 08:00:00,281,206
South King St,30/12/2013 09:00:00,242,230
South King St,30/12/2013 10:00:00,374,333
South King St,30/12/2013 11:00:00,677,589
South King St,30/12/2013 12:00:00,1000,961
South King St,30/12/2013 13:00:00,1549,1354
South King St,30/12/2013 14:00:00,1426,1358
South King St,30/12/2013 15:00:00,1549,1520
South King St,30/12/2013 16:00:00,1589,1862
South King St,30/12/2013 17:00:00,1317,1583
South King St,30/12/2013 18:00:00,1133,1058
South King St,30/12/2013 19:00:00,468,597
South King St,30/12/2013 20:00:00,316,517
South King St,30/12/2013 21:00:00,242,659
South King St,30/12/2013 22:00:00,192,217
South King St,30/12/2013 23:00:00,217,190
South Great Georges,30/12/2013 00:00:00,81,84
South Great Georges,30/12/2013 01:00:00,60,50
South Great Georges,30/12/2013 02:00:00,36,56
South Great Georges,30/12/2013 03:00:00,39,27
South Great Georges,30/12/2013 04:00:00,12,22
South Great Georges,30/12/2013 05:00:00,28,26
South Great Georges,30/12/2013 06:00:00,99,47
South Great Georges,30/12/2013 07:00:00,197,116
South Great Georges,30/12/2013 08:00:00,281,206
South Great Georges,30/12/2013 09:00:00,242,230
South Great Georges,30/12/2013 10:00:00,374,333
South Great Georges,30/12/2013 11:00:00,677,589
South Great Georges,30/12/2013 12:00:00,1000,961
South Great Georges,30/12/2013 13:00:00,1549,1354
South Great Georges,30/12/2013 14:00:00,1426,1358
South Great Georges,30/12/2013 15:00:00,1549,1520
South Great Georges,30/12/2013 16:00:00,1589,1862
South Great Georges,30/12/2013 17:00:00,1317,1583
South Great Georges,30/12/2013 18:00:00,1133,1058
South Great Georges,30/12/2013 19:00:00,468,597
South Great Georges,30/12/2013 20:00:00,316,517
South Great Georges,30/12/2013 21:00:00,242,659
South Great Georges,30/12/2013 22:00:00,192,217
South Great Georges,30/12/2013 23:00:00,217,190
Talbot St,30/12/2013 00:00:00,37,55
Talbot St,30/12/2013 01:00:00,20,71
Talbot St,30/12/2013 02:00:00,13,50
Talbot St,30/12/2013 03:00:00,5,30
Talbot St,30/12/2013 04:00:00,5,21
Talbot St,30/12/2013 05:00:00,11,17
Talbot St,30/12/2013 06:00:00,52,24
Talbot St,30/12/2013 07:00:00,174,110
Talbot St,30/12/2013 08:00:00,380,299
Talbot St,30/12/2013 09:00:00,257,170
Talbot St,30/12/2013 10:00:00,402,278
Talbot St,30/12/2013 11:00:00,455,405
Talbot St,30/12/2013 12:00:00,323,429
Talbot St,30/12/2013 13:00:00,427,644
Talbot St,30/12/2013 14:00:00,500,761
Talbot St,30/12/2013 15:00:00,503,884
Talbot St,30/12/2013 16:00:00,823,1263
Talbot St,30/12/2013 17:00:00,968,1397
Talbot St,30/12/2013 18:00:00,757,1301
Talbot St,30/12/2013 19:00:00,677,976
Talbot St,30/12/2013 20:00:00,483,579
Talbot St,30/12/2013 21:00:00,125,250
Talbot St,30/12/2013 22:00:00,115,228
Talbot St,30/12/2013 23:00:00,49,167
Mary St,30/12/2013 00:00:00,37,19
Mary St,30/12/2013 01:00:00,14,14
Mary St,30/12/2013 02:00:00,9,6
Mary St,30/12/2013 03:00:00,119,117
Mary St,30/12/2013 04:00:00,62,50
Mary St,30/12/2013 05:00:00,44,24
Mary St,30/12/2013 06:00:00,51,64
Mary St,30/12/2013 07:00:00,143,91
Mary St,30/12/2013 08:00:00,201,144
Mary St,30/12/2013 09:00:00,375,282
Mary St,30/12/2013 10:00:00,783,610
Mary St,30/12/2013 11:00:00,1376,1248
Mary St,30/12/2013 12:00:00,1893,1754
Mary St,30/12/2013 13:00:00,2490,2213
Mary St,30/12/2013 14:00:00,2545,2376
Mary St,30/12/2013 15:00:00,2642,2563
Mary St,30/12/2013 16:00:00,2472,2289
Mary St,30/12/2013 17:00:00,2441,2412
Mary St,30/12/2013 18:00:00,1834,1581
Mary St,30/12/2013 19:00:00,723,681
Mary St,30/12/2013 20:00:00,258,239
Mary St,30/12/2013 21:00:00,159,163
Mary St,30/12/2013 22:00:00,87,113
Mary St,30/12/2013 23:00:00,47,44
Moore St,30/12/2013 00:00:00,18,18
Moore St,30/12/2013 01:00:00,9,14
Moore St,30/12/2013 02:00:00,23,16
Moore St,30/12/2013 03:00:00,12,20
Moore St,30/12/2013 04:00:00,27,14
Moore St,30/12/2013 05:00:00,141,35
Moore St,30/12/2013 06:00:00,181,47
Moore St,30/12/2013 07:00:00,197,96
Moore St,30/12/2013 08:00:00,202,114
Moore St,30/12/2013 09:00:00,362,230
Moore St,30/12/2013 10:00:00,586,610
Moore St,30/12/2013 11:00:00,925,938
Moore St,30/12/2013 12:00:00,1135,1307
Moore St,30/12/2013 13:00:00,1415,1582
Moore St,30/12/2013 14:00:00,1385,1579
Moore St,30/12/2013 15:00:00,1788,1948
Moore St,30/12/2013 16:00:00,1685,1932
Moore St,30/12/2013 17:00:00,1448,1726
Moore St,30/12/2013 18:00:00,935,1323
Moore St,30/12/2013 19:00:00,715,961
Moore St,30/12/2013 20:00:00,403,391
Moore St,30/12/2013 21:00:00,146,146
Moore St,30/12/2013 22:00:00,107,97
Moore St,30/12/2013 23:00:00,64,75
Capel St at Mullen,30/12/2013 00:00:00,40,24
Capel St at Mullen,30/12/2013 01:00:00,12,15
Capel St at Mullen,30/12/2013 02:00:00,5,30
Capel St at Mullen,30/12/2013 03:00:00,1,16
Capel St at Mullen,30/12/2013 04:00:00,1,8
Capel St at Mullen,30/12/2013 05:00:00,4,3
Capel St at Mullen,30/12/2013 06:00:00,24,13
Capel St at Mullen,30/12/2013 07:00:00,22,32
Capel St at Mullen,30/12/2013 08:00:00,46,34
Capel St at Mullen,30/12/2013 09:00:00,84,80
Capel St at Mullen,30/12/2013 10:00:00,145,166
Capel St at Mullen,30/12/2013 11:00:00,272,234
Capel St at Mullen,30/12/2013 12:00:00,364,392
Capel St at Mullen,30/12/2013 13:00:00,498,478
Capel St at Mullen,30/12/2013 14:00:00,512,436
Capel St at Mullen,30/12/2013 15:00:00,541,494
Capel St at Mullen,30/12/2013 16:00:00,443,430
Capel St at Mullen,30/12/2013 17:00:00,411,370
Capel St at Mullen,30/12/2013 18:00:00,346,255
Capel St at Mullen,30/12/2013 19:00:00,239,212
Capel St at Mullen,30/12/2013 20:00:00,137,134
Capel St at Mullen,30/12/2013 21:00:00,105,86
Capel St at Mullen,30/12/2013 22:00:00,52,63
Capel St at Mullen,30/12/2013 23:00:00,48,25
Dame Court,30/12/2013 00:00:00,108,181
Dame Court,30/12/2013 01:00:00,135,167
Dame Court,30/12/2013 02:00:00,146,185
Dame Court,30/12/2013 03:00:00,171,110
Dame Court,30/12/2013 04:00:00,87,92
Dame Court,30/12/2013 05:00:00,165,127
Dame Court,30/12/2013 06:00:00,130,114
Dame Court,30/12/2013 07:00:00,71,64
Dame Court,30/12/2013 08:00:00,70,59
Dame Court,30/12/2013 09:00:00,84,68
Dame Court,30/12/2013 10:00:00,59,55
Dame Court,30/12/2013 11:00:00,91,104
Dame Court,30/12/2013 12:00:00,210,263
Dame Court,30/12/2013 13:00:00,137,168
Dame Court,30/12/2013 14:00:00,174,247
Dame Court,30/12/2013 15:00:00,141,245
Dame Court,30/12/2013 16:00:00,211,260
Dame Court,30/12/2013 17:00:00,303,387
Dame Court,30/12/2013 18:00:00,235,368
Dame Court,30/12/2013 19:00:00,209,244
Dame Court,30/12/2013 20:00:00,189,299
Dame Court,30/12/2013 21:00:00,189,243
Dame Court,30/12/2013 22:00:00,159,216
Dame Court,30/12/2013 23:00:00,140,158
Grafton St at Card Gallery,30/12/2013 00:00:00,410,441
Grafton St at Card Gallery,30/12/2013 01:00:00,271,236
Grafton St at Card Gallery,30/12/2013 02:00:00,248,128
Grafton St at Card Gallery,30/12/2013 03:00:00,260,162
Grafton St at Card Gallery,30/12/2013 04:00:00,226,109
Grafton St at Card Gallery,30/12/2013 05:00:00,48,76
Grafton St at Card Gallery,30/12/2013 06:00:00,96,356
Grafton St at Card Gallery,30/12/2013 07:00:00,221,663
Grafton St at Card Gallery,30/12/2013 08:00:00,529,928
Grafton St at Card Gallery,30/12/2013 09:00:00,697,1070
Grafton St at Card Gallery,30/12/2013 10:00:00,1292,1510
Grafton St at Card Gallery,30/12/2013 11:00:00,2664,2672
Grafton St at Card Gallery,30/12/2013 12:00:00,3914,3886
Grafton St at Card Gallery,30/12/2013 13:00:00,3813,4111
Grafton St at Card Gallery,30/12/2013 14:00:00,4300,4680
Grafton St at Card Gallery,30/12/2013 15:00:00,4702,4680
Grafton St at Card Gallery,30/12/2013 16:00:00,4564,4862
Grafton St at Card Gallery,30/12/2013 17:00:00,4640,4648
Grafton St at Card Gallery,30/12/2013 18:00:00,3680,3456
Grafton St at Card Gallery,30/12/2013 19:00:00,2426,2198
Grafton St at Card Gallery,30/12/2013 20:00:00,1472,1662
Grafton St at Card Gallery,30/12/2013 21:00:00,1201,1289
Grafton St at Card Gallery,30/12/2013 22:00:00,762,781
Grafton St at Card Gallery,30/12/2013 23:00:00,712,791
Grafton St at M&S,30/12/2013 00:00:00,388,398
Grafton St at M&S,30/12/2013 01:00:00,318,222
Grafton St at M&S,30/12/2013 02:00:00,376,134
Grafton St at M&S,30/12/2013 03:00:00,291,124
Grafton St at M&S,30/12/2013 04:00:00,234,86
Grafton St at M&S,30/12/2013 05:00:00,71,117
Grafton St at M&S,30/12/2013 06:00:00,100,407
Grafton St at M&S,30/12/2013 07:00:00,225,745
Grafton St at M&S,30/12/2013 08:00:00,529,1344
Grafton St at M&S,30/12/2013 09:00:00,696,1250
Grafton St at M&S,30/12/2013 10:00:00,1327,1668
Grafton St at M&S,30/12/2013 11:00:00,2556,2714
Grafton St at M&S,30/12/2013 12:00:00,3566,3287
Grafton St at M&S,30/12/2013 13:00:00,2370,2351
Grafton St at M&S,30/12/2013 14:00:00,1956,2209
Grafton St at M&S,30/12/2013 15:00:00,2243,2519
Grafton St at M&S,30/12/2013 16:00:00,2063,2307
Grafton St at M&S,30/12/2013 17:00:00,1941,2026
Grafton St at M&S,30/12/2013 18:00:00,1755,1631
Grafton St at M&S,30/12/2013 19:00:00,1335,1093
Grafton St at M&S,30/12/2013 20:00:00,796,858
Grafton St at M&S,30/12/2013 21:00:00,721,562
Grafton St at M&S,30/12/2013 22:00:00,427,412
Grafton St at M&S,30/12/2013 23:00:00,374,434
O'Connell Street at Easons,30/12/2013 00:00:00,112,272
O'Connell Street at Easons,30/12/2013 01:00:00,40,203
O'Connell Street at Easons,30/12/2013 02:00:00,29,151
O'Connell Street at Easons,30/12/2013 03:00:00,6,104
O'Connell Street at Easons,30/12/2013 04:00:00,13,122
O'Connell Street at Easons,30/12/2013 05:00:00,45,32
O'Connell Street at Easons,30/12/2013 06:00:00,153,94
O'Connell Street at Easons,30/12/2013 07:00:00,280,234
O'Connell Street at Easons,30/12/2013 08:00:00,282,377
O'Connell Street at Easons,30/12/2013 09:00:00,444,472
O'Connell Street at Easons,30/12/2013 10:00:00,654,748
O'Connell Street at Easons,30/12/2013 11:00:00,1017,1267
O'Connell Street at Easons,30/12/2013 12:00:00,1391,1651
O'Connell Street at Easons,30/12/2013 13:00:00,1681,1915
O'Connell Street at Easons,30/12/2013 14:00:00,1868,2088
O'Connell Street at Easons,30/12/2013 15:00:00,1965,2142
O'Connell Street at Easons,30/12/2013 16:00:00,2122,2154
O'Connell Street at Easons,30/12/2013 17:00:00,2080,2027
O'Connell Street at Easons,30/12/2013 18:00:00,1587,1524
O'Connell Street at Easons,30/12/2013 19:00:00,1302,1249
O'Connell Street at Easons,30/12/2013 20:00:00,798,968
O'Connell Street at Easons,30/12/2013 21:00:00,489,705
O'Connell Street at Easons,30/12/2013 22:00:00,406,846
O'Connell Street at Easons,30/12/2013 23:00:00,227,648
Henry Street at Butlers,30/12/2013 00:00:00,44,53
Henry Street at Butlers,30/12/2013 01:00:00,23,24
Henry Street at Butlers,30/12/2013 02:00:00,10,22
Henry Street at Butlers,30/12/2013 03:00:00,11,23
Henry Street at Butlers,30/12/2013 04:00:00,20,41
Henry Street at Butlers,30/12/2013 05:00:00,65,55
Henry Street at Butlers,30/12/2013 06:00:00,93,104
Henry Street at Butlers,30/12/2013 07:00:00,111,287
Henry Street at Butlers,30/12/2013 08:00:00,210,552
Henry Street at Butlers,30/12/2013 09:00:00,408,996
Henry Street at Butlers,30/12/2013 10:00:00,952,1918
Henry Street at Butlers,30/12/2013 11:00:00,1533,2766
Henry Street at Butlers,30/12/2013 12:00:00,2261,3672
Henry Street at Butlers,30/12/2013 13:00:00,2827,3926
Henry Street at Butlers,30/12/2013 14:00:00,3222,3989
Henry Street at Butlers,30/12/2013 15:00:00,3388,3671
Henry Street at Butlers,30/12/2013 16:00:00,3561,3330
Henry Street at Butlers,30/12/2013 17:00:00,3335,2722
Henry Street at Butlers,30/12/2013 18:00:00,2840,1801
Henry Street at Butlers,30/12/2013 19:00:00,1617,917
Henry Street at Butlers,30/12/2013 20:00:00,549,421
Henry Street at Butlers,30/12/2013 21:00:00,299,258
Henry Street at Butlers,30/12/2013 22:00:00,206,173
Henry Street at Butlers,30/12/2013 23:00:00,105,83
South William St,30/12/2013 00:00:00,94,79
South William St,30/12/2013 01:00:00,44,34
South William St,30/12/2013 02:00:00,78,15
South William St,30/12/2013 03:00:00,74,9
South William St,30/12/2013 04:00:00,3,2
South William St,30/12/2013 05:00:00,2,1
South William St,30/12/2013 06:00:00,6,15
South William St,30/12/2013 07:00:00,19,29
South William St,30/12/2013 08:00:00,43,97
South William St,30/12/2013 09:00:00,65,121
South William St,30/12/2013 10:00:00,90,125
South William St,30/12/2013 11:00:00,171,235
South William St,30/12/2013 12:00:00,255,365
South William St,30/12/2013 13:00:00,360,525
South William St,30/12/2013 14:00:00,359,477
South William St,30/12/2013 15:00:00,406,536
South William St,30/12/2013 16:00:00,441,571
South William St,30/12/2013 17:00:00,478,483
South William St,30/12/2013 18:00:00,314,391
South William St,30/12/2013 19:00:00,233,243
South William St,30/12/2013 20:00:00,167,205
South William St,30/12/2013 21:00:00,132,112
South William St,30/12/2013 22:00:00,88,83
South William St,30/12/2013 23:00:00,100,62
Dublin BID,31/12/2013 00:00:00,113,150
Dublin BID,31/12/2013 01:00:00,36,58
Dublin BID,31/12/2013 02:00:00,15,38
Dublin BID,31/12/2013 03:00:00,9,25
Dublin BID,31/12/2013 04:00:00,5,14
Dublin BID,31/12/2013 05:00:00,35,14
Dublin BID,31/12/2013 06:00:00,177,58
Dublin BID,31/12/2013 07:00:00,554,248
Dublin BID,31/12/2013 08:00:00,1064,457
Dublin BID,31/12/2013 09:00:00,997,652
Dublin BID,31/12/2013 10:00:00,1188,804
Dublin BID,31/12/2013 11:00:00,1253,901
Dublin BID,31/12/2013 12:00:00,1436,1039
Dublin BID,31/12/2013 13:00:00,1778,1327
Dublin BID,31/12/2013 14:00:00,1658,1180
Dublin BID,31/12/2013 15:00:00,1669,1177
Dublin BID,31/12/2013 16:00:00,1633,1138
Dublin BID,31/12/2013 17:00:00,1828,1192
Dublin BID,31/12/2013 18:00:00,1568,966
Dublin BID,31/12/2013 19:00:00,1069,738
Dublin BID,31/12/2013 20:00:00,764,576
Dublin BID,31/12/2013 21:00:00,587,484
Dublin BID,31/12/2013 22:00:00,566,438
Dublin BID,31/12/2013 23:00:00,344,343
South King St,31/12/2013 00:00:00,192,119
South King St,31/12/2013 01:00:00,80,61
South King St,31/12/2013 02:00:00,34,17
South King St,31/12/2013 03:00:00,38,13
South King St,31/12/2013 04:00:00,8,8
South King St,31/12/2013 05:00:00,24,35
South King St,31/12/2013 06:00:00,66,28
South King St,31/12/2013 07:00:00,196,95
South King St,31/12/2013 08:00:00,201,173
South King St,31/12/2013 09:00:00,239,249
South King St,31/12/2013 10:00:00,336,389
South King St,31/12/2013 11:00:00,588,644
South King St,31/12/2013 12:00:00,1210,1140
South King St,31/12/2013 13:00:00,1077,1062
South King St,31/12/2013 14:00:00,1075,1048
South King St,31/12/2013 15:00:00,1221,1316
South King St,31/12/2013 16:00:00,1312,1296
South King St,31/12/2013 17:00:00,1196,1163
South King St,31/12/2013 18:00:00,867,1678
South King St,31/12/2013 19:00:00,723,1823
South King St,31/12/2013 20:00:00,474,1154
South King St,31/12/2013 21:00:00,442,672
South King St,31/12/2013 22:00:00,455,743
South King St,31/12/2013 23:00:00,427,531
South Great Georges,31/12/2013 00:00:00,304,262
South Great Georges,31/12/2013 01:00:00,84,157
South Great Georges,31/12/2013 02:00:00,51,100
South Great Georges,31/12/2013 03:00:00,37,63
South Great Georges,31/12/2013 04:00:00,34,18
South Great Georges,31/12/2013 05:00:00,20,21
South Great Georges,31/12/2013 06:00:00,24,51
South Great Georges,31/12/2013 07:00:00,38,151
South Great Georges,31/12/2013 08:00:00,106,153
South Great Georges,31/12/2013 09:00:00,178,166
South Great Georges,31/12/2013 10:00:00,279,243
South Great Georges,31/12/2013 11:00:00,403,345
South Great Georges,31/12/2013 12:00:00,585,506
South Great Georges,31/12/2013 13:00:00,603,765
South Great Georges,31/12/2013 14:00:00,617,730
South Great Georges,31/12/2013 15:00:00,659,877
South Great Georges,31/12/2013 16:00:00,709,917
South Great Georges,31/12/2013 17:00:00,598,934
South Great Georges,31/12/2013 18:00:00,448,820
South Great Georges,31/12/2013 19:00:00,519,680
South Great Georges,31/12/2013 20:00:00,581,780
South Great Georges,31/12/2013 21:00:00,555,704
South Great Georges,31/12/2013 22:00:00,550,707
South Great Georges,31/12/2013 23:00:00,620,521
Talbot St,31/12/2013 00:00:00,32,90
Talbot St,31/12/2013 01:00:00,16,57
Talbot St,31/12/2013 02:00:00,15,37
Talbot St,31/12/2013 03:00:00,9,40
Talbot St,31/12/2013 04:00:00,7,17
Talbot St,31/12/2013 05:00:00,5,10
Talbot St,31/12/2013 06:00:00,47,24
Talbot St,31/12/2013 07:00:00,209,118
Talbot St,31/12/2013 08:00:00,347,225
Talbot St,31/12/2013 09:00:00,280,190
Talbot St,31/12/2013 10:00:00,488,270
Talbot St,31/12/2013 11:00:00,486,473
Talbot St,31/12/2013 12:00:00,582,642
Talbot St,31/12/2013 13:00:00,435,707
Talbot St,31/12/2013 14:00:00,125,223
Talbot St,31/12/2013 15:00:00,373,800
Talbot St,31/12/2013 16:00:00,754,1074
Talbot St,31/12/2013 17:00:00,841,1343
Talbot St,31/12/2013 18:00:00,757,1059
Talbot St,31/12/2013 19:00:00,728,633
Talbot St,31/12/2013 20:00:00,696,525
Talbot St,31/12/2013 21:00:00,436,301
Talbot St,31/12/2013 22:00:00,205,152
Talbot St,31/12/2013 23:00:00,226,106
Mary St,31/12/2013 00:00:00,30,21
Mary St,31/12/2013 01:00:00,34,10
Mary St,31/12/2013 02:00:00,19,9
Mary St,31/12/2013 03:00:00,8,8
Mary St,31/12/2013 04:00:00,16,24
Mary St,31/12/2013 05:00:00,43,20
Mary St,31/12/2013 06:00:00,51,35
Mary St,31/12/2013 07:00:00,92,79
Mary St,31/12/2013 08:00:00,209,169
Mary St,31/12/2013 09:00:00,371,317
Mary St,31/12/2013 10:00:00,886,746
Mary St,31/12/2013 11:00:00,1452,1257
Mary St,31/12/2013 12:00:00,1979,1737
Mary St,31/12/2013 13:00:00,1938,1658
Mary St,31/12/2013 14:00:00,1902,1740
Mary St,31/12/2013 15:00:00,1691,1568
Mary St,31/12/2013 16:00:00,1809,1846
Mary St,31/12/2013 17:00:00,1541,1410
Mary St,31/12/2013 18:00:00,643,534
Mary St,31/12/2013 19:00:00,221,157
Mary St,31/12/2013 20:00:00,223,118
Mary St,31/12/2013 21:00:00,132,120
Mary St,31/12/2013 22:00:00,97,119
Mary St,31/12/2013 23:00:00,84,64
Moore St,31/12/2013 00:00:00,30,40
Moore St,31/12/2013 01:00:00,33,39
Moore St,31/12/2013 02:00:00,23,18
Moore St,31/12/2013 03:00:00,19,23
Moore St,31/12/2013 04:00:00,38,18
Moore St,31/12/2013 05:00:00,128,30
Moore St,31/12/2013 06:00:00,181,61
Moore St,31/12/2013 07:00:00,183,67
Moore St,31/12/2013 08:00:00,249,134
Moore St,31/12/2013 09:00:00,421,332
Moore St,31/12/2013 10:00:00,654,608
Moore St,31/12/2013 11:00:00,994,1011
Moore St,31/12/2013 12:00:00,1274,1264
Moore St,31/12/2013 13:00:00,1330,1532
Moore St,31/12/2013 14:00:00,1228,1386
Moore St,31/12/2013 15:00:00,1461,1544
Moore St,31/12/2013 16:00:00,1307,1628
Moore St,31/12/2013 17:00:00,980,1279
Moore St,31/12/2013 18:00:00,597,818
Moore St,31/12/2013 19:00:00,239,284
Moore St,31/12/2013 20:00:00,225,220
Moore St,31/12/2013 21:00:00,161,109
Moore St,31/12/2013 22:00:00,161,108
Moore St,31/12/2013 23:00:00,173,80
Capel St at Mullen,31/12/2013 00:00:00,26,42
Capel St at Mullen,31/12/2013 01:00:00,10,21
Capel St at Mullen,31/12/2013 02:00:00,2,15
Capel St at Mullen,31/12/2013 03:00:00,2,13
Capel St at Mullen,31/12/2013 04:00:00,2,9
Capel St at Mullen,31/12/2013 05:00:00,5,1
Capel St at Mullen,31/12/2013 06:00:00,24,6
Capel St at Mullen,31/12/2013 07:00:00,26,26
Capel St at Mullen,31/12/2013 08:00:00,44,43
Capel St at Mullen,31/12/2013 09:00:00,78,93
Capel St at Mullen,31/12/2013 10:00:00,184,193
Capel St at Mullen,31/12/2013 11:00:00,298,293
Capel St at Mullen,31/12/2013 12:00:00,410,391
Capel St at Mullen,31/12/2013 13:00:00,303,317
Capel St at Mullen,31/12/2013 14:00:00,352,344
Capel St at Mullen,31/12/2013 15:00:00,376,304
Capel St at Mullen,31/12/2013 16:00:00,322,321
Capel St at Mullen,31/12/2013 17:00:00,280,153
Capel St at Mullen,31/12/2013 18:00:00,184,159
Capel St at Mullen,31/12/2013 19:00:00,93,147
Capel St at Mullen,31/12/2013 20:00:00,138,132
Capel St at Mullen,31/12/2013 21:00:00,85,69
Capel St at Mullen,31/12/2013 22:00:00,75,60
Capel St at Mullen,31/12/2013 23:00:00,117,51
Dame Court,31/12/2013 00:00:00,110,123
Dame Court,31/12/2013 01:00:00,53,134
Dame Court,31/12/2013 02:00:00,28,38
Dame Court,31/12/2013 03:00:00,31,32
Dame Court,31/12/2013 04:00:00,0,10
Dame Court,31/12/2013 05:00:00,49,16
Dame Court,31/12/2013 06:00:00,13,10
Dame Court,31/12/2013 07:00:00,24,21
Dame Court,31/12/2013 08:00:00,62,38
Dame Court,31/12/2013 09:00:00,65,68
Dame Court,31/12/2013 10:00:00,86,99
Dame Court,31/12/2013 11:00:00,98,90
Dame Court,31/12/2013 12:00:00,198,204
Dame Court,31/12/2013 13:00:00,209,218
Dame Court,31/12/2013 14:00:00,170,223
Dame Court,31/12/2013 15:00:00,257,243
Dame Court,31/12/2013 16:00:00,204,257
Dame Court,31/12/2013 17:00:00,257,257
Dame Court,31/12/2013 18:00:00,229,220
Dame Court,31/12/2013 19:00:00,778,1151
Dame Court,31/12/2013 20:00:00,846,1416
Dame Court,31/12/2013 21:00:00,1051,1491
Dame Court,31/12/2013 22:00:00,1099,1521
Dame Court,31/12/2013 23:00:00,1291,1966
Grafton St at Card Gallery,31/12/2013 00:00:00,449,558
Grafton St at Card Gallery,31/12/2013 01:00:00,255,216
Grafton St at Card Gallery,31/12/2013 02:00:00,386,217
Grafton St at Card Gallery,31/12/2013 03:00:00,163,134
Grafton St at Card Gallery,31/12/2013 04:00:00,104,84
Grafton St at Card Gallery,31/12/2013 05:00:00,30,67
Grafton St at Card Gallery,31/12/2013 06:00:00,55,305
Grafton St at Card Gallery,31/12/2013 07:00:00,246,708
Grafton St at Card Gallery,31/12/2013 08:00:00,447,1123
Grafton St at Card Gallery,31/12/2013 09:00:00,664,1081
Grafton St at Card Gallery,31/12/2013 10:00:00,1476,1656
Grafton St at Card Gallery,31/12/2013 11:00:00,2485,2426
Grafton St at Card Gallery,31/12/2013 12:00:00,3166,3211
Grafton St at Card Gallery,31/12/2013 13:00:00,3684,3675
Grafton St at Card Gallery,31/12/2013 14:00:00,3617,3668
Grafton St at Card Gallery,31/12/2013 15:00:00,3673,3784
Grafton St at Card Gallery,31/12/2013 16:00:00,3843,4247
Grafton St at Card Gallery,31/12/2013 17:00:00,3430,4692
Grafton St at Card Gallery,31/12/2013 18:00:00,2255,4775
Grafton St at Card Gallery,31/12/2013 19:00:00,2895,2374
Grafton St at Card Gallery,31/12/2013 20:00:00,3653,2224
Grafton St at Card Gallery,31/12/2013 21:00:00,2736,1998
Grafton St at Card Gallery,31/12/2013 22:00:00,3042,2486
Grafton St at Card Gallery,31/12/2013 23:00:00,3140,2373
Grafton St at M&S,31/12/2013 00:00:00,271,305
Grafton St at M&S,31/12/2013 01:00:00,194,135
Grafton St at M&S,31/12/2013 02:00:00,269,116
Grafton St at M&S,31/12/2013 03:00:00,130,72
Grafton St at M&S,31/12/2013 04:00:00,82,48
Grafton St at M&S,31/12/2013 05:00:00,16,49
Grafton St at M&S,31/12/2013 06:00:00,37,265
Grafton St at M&S,31/12/2013 07:00:00,110,364
Grafton St at M&S,31/12/2013 08:00:00,232,673
Grafton St at M&S,31/12/2013 09:00:00,350,567
Grafton St at M&S,31/12/2013 10:00:00,773,1062
Grafton St at M&S,31/12/2013 11:00:00,1556,1668
Grafton St at M&S,31/12/2013 12:00:00,1917,2026
Grafton St at M&S,31/12/2013 13:00:00,2325,2044
Grafton St at M&S,31/12/2013 14:00:00,1734,1802
Grafton St at M&S,31/12/2013 15:00:00,2158,2191
Grafton St at M&S,31/12/2013 16:00:00,2105,2118
Grafton St at M&S,31/12/2013 17:00:00,1503,2018
Grafton St at M&S,31/12/2013 18:00:00,833,2107
Grafton St at M&S,31/12/2013 19:00:00,1472,1253
Grafton St at M&S,31/12/2013 20:00:00,1605,1136
Grafton St at M&S,31/12/2013 21:00:00,1294,1085
Grafton St at M&S,31/12/2013 22:00:00,1603,1189
Grafton St at M&S,31/12/2013 23:00:00,2573,1776
O'Connell Street at Easons,31/12/2013 00:00:00,95,338
O'Connell Street at Easons,31/12/2013 01:00:00,32,203
O'Connell Street at Easons,31/12/2013 02:00:00,21,184
O'Connell Street at Easons,31/12/2013 03:00:00,13,157
O'Connell Street at Easons,31/12/2013 04:00:00,13,80
