Zone,Times,InCount,OutCount,Type
Dublin BID,30/12/2013 00:00:00,181,352,Actual
Dublin BID,30/12/2013 01:00:00,46,123,Actual
Dublin BID,30/12/2013 02:00:00,22,47,Actual
Dublin BID,30/12/2013 03:00:00,5,35,Actual
Dublin BID,30/12/2013 04:00:00,7,26,Actual
Dublin BID,30/12/2013 05:00:00,41,15,Actual
Dublin BID,30/12/2013 06:00:00,216,62,Actual
Dublin BID,30/12/2013 07:00:00,614,227,Actual
Dublin BID,30/12/2013 08:00:00,1244,527,Actual
Dublin BID,30/12/2013 09:00:00,1194,699,Actual
Dublin BID,30/12/2013 10:00:00,1401,956,Actual
Dublin BID,30/12/2013 11:00:00,1471,1067,Actual
Dublin BID,30/12/2013 12:00:00,1845,1252,Actual
Dublin BID,30/12/2013 13:00:00,2195,1546,Actual
Dublin BID,30/12/2013 14:00:00,2068,1440,Actual
Dublin BID,30/12/2013 15:00:00,2089,1394,Actual
Dublin BID,30/12/2013 16:00:00,2059,1310,Actual
Dublin BID,30/12/2013 17:00:00,2098,1395,Actual
Dublin BID,30/12/2013 18:00:00,1890,1135,Actual
Dublin BID,30/12/2013 19:00:00,1297,842,Actual
Dublin BID,30/12/2013 20:00:00,789,631,Actual
Dublin BID,30/12/2013 21:00:00,651,510,Actual
Dublin BID,30/12/2013 22:00:00,628,411,Actual
Dublin BID,30/12/2013 23:00:00,324,320,Actual
South King St,30/12/2013 00:00:00,81,84,Actual
South King St,30/12/2013 01:00:00,60,50,Actual
South King St,30/12/2013 02:00:00,36,56,Actual
South King St,30/12/2013 03:00:00,39,27,Actual
South King St,30/12/2013 04:00:00,12,22,Actual
South King St,30/12/2013 05:00:00,28,26,Actual
South King St,30/12/2013 06:00:00,99,47,Actual
South King St,30/12/2013 07:00:00,197,116,Actual
South King St,30/12/2013 08:00:00,281,206,Actual
South King St,30/12/2013 09:00:00,242,230,Actual
South King St,30/12/2013 10:00:00,374,333,Actual
South King St,30/12/2013 11:00:00,677,589,Actual
South King St,30/12/2013 12:00:00,1000,961,Actual
South King St,30/12/2013 13:00:00,1549,1354,Actual
South King St,30/12/2013 14:00:00,1426,1358,Actual
South King St,30/12/2013 15:00:00,1549,1520,Actual
South King St,30/12/2013 16:00:00,1589,1862,Actual
South King St,30/12/2013 17:00:00,1317,1583,Actual
South King St,30/12/2013 18:00:00,1133,1058,Actual
South King St,30/12/2013 19:00:00,468,597,Actual
South King St,30/12/2013 20:00:00,316,517,Actual
South King St,30/12/2013 21:00:00,242,659,Actual
South King St,30/12/2013 22:00:00,192,217,Actual
South King St,30/12/2013 23:00:00,217,190,Actual
South Great Georges,30/12/2013 00:00:00,81,84,Actual
South Great Georges,30/12/2013 01:00:00,60,50,Actual
South Great Georges,30/12/2013 02:00:00,36,56,Actual
South Great Georges,30/12/2013 03:00:00,39,27,Actual
South Great Georges,30/12/2013 04:00:00,12,22,Actual
South Great Georges,30/12/2013 05:00:00,28,26,Actual
South Great Georges,30/12/2013 06:00:00,99,47,Actual
South Great Georges,30/12/2013 07:00:00,197,116,Actual
South Great Georges,30/12/2013 08:00:00,281,206,Actual
South Great Georges,30/12/2013 09:00:00,242,230,Actual
South Great Georges,30/12/2013 10:00:00,374,333,Actual
South Great Georges,30/12/2013 11:00:00,677,589,Actual
South Great Georges,30/12/2013 12:00:00,1000,961,Actual
South Great Georges,30/12/2013 13:00:00,1549,1354,Actual
South Great Georges,30/12/2013 14:00:00,1426,1358,Actual
South Great Georges,30/12/2013 15:00:00,1549,1520,Actual
South Great Georges,30/12/2013 16:00:00,1589,1862,Actual
South Great Georges,30/12/2013 17:00:00,1317,1583,Actual
South Great Georges,30/12/2013 18:00:00,1133,1058,Actual
South Great Georges,30/12/2013 19:00:00,468,597,Actual
South Great Georges,30/12/2013 20:00:00,316,517,Actual
South Great Georges,30/12/2013 21:00:00,242,659,Actual
South Great Georges,30/12/2013 22:00:00,192,217,Actual
South Great Georges,30/12/2013 23:00:00,217,190,Actual
Talbot St,30/12/2013 00:00:00,37,55,Actual
Talbot St,30/12/2013 01:00:00,20,71,Actual
Talbot St,30/12/2013 02:00:00,13,50,Actual
Talbot St,30/12/2013 03:00:00,5,30,Actual
Talbot St,30/12/2013 04:00:00,5,21,Actual
Talbot St,30/12/2013 05:00:00,11,17,Actual
Talbot St,30/12/2013 06:00:00,52,24,Actual
Talbot St,30/12/2013 07:00:00,174,110,Actual
Talbot St,30/12/2013 08:00:00,380,299,Actual
Talbot St,30/12/2013 09:00:00,257,170,Actual
Talbot St,30/12/2013 10:00:00,402,278,Actual
Talbot St,30/12/2013 11:00:00,455,405,Actual
Talbot St,30/12/2013 12:00:00,323,429,Actual
Talbot St,30/12/2013 13:00:00,427,644,Actual
Talbot St,30/12/2013 14:00:00,500,761,Actual
Talbot St,30/12/2013 15:00:00,503,884,Actual
Talbot St,30/12/2013 16:00:00,823,1263,Actual
Talbot St,30/12/2013 17:00:00,968,1397,Actual
Talbot St,30/12/2013 18:00:00,757,1301,Actual
Talbot St,30/12/2013 19:00:00,677,976,Actual
Talbot St,30/12/2013 20:00:00,483,579,Actual
Talbot St,30/12/2013 21:00:00,125,250,Actual
Talbot St,30/12/2013 22:00:00,115,228,Actual
Talbot St,30/12/2013 23:00:00,49,167,Actual
Mary St,30/12/2013 00:00:00,37,19,Actual
Mary St,30/12/2013 01:00:00,14,14,Actual
Mary St,30/12/2013 02:00:00,9,6,Actual
Mary St,30/12/2013 03:00:00,119,117,Actual
Mary St,30/12/2013 04:00:00,62,50,Actual
Mary St,30/12/2013 05:00:00,44,24,Actual
Mary St,30/12/2013 06:00:00,51,64,Actual
Mary St,30/12/2013 07:00:00,143,91,Actual
Mary St,30/12/2013 08:00:00,201,144,Actual
Mary St,30/12/2013 09:00:00,375,282,Actual
Mary St,30/12/2013 10:00:00,783,610,Actual
Mary St,30/12/2013 11:00:00,1376,1248,Actual
Mary St,30/12/2013 12:00:00,1893,1754,Actual
Mary St,30/12/2013 13:00:00,2490,2213,Actual
Mary St,30/12/2013 14:00:00,2545,2376,Actual
Mary St,30/12/2013 15:00:00,2642,2563,Actual
Mary St,30/12/2013 16:00:00,2472,2289,Actual
Mary St,30/12/2013 17:00:00,2441,2412,Actual
Mary St,30/12/2013 18:00:00,1834,1581,Actual
Mary St,30/12/2013 19:00:00,723,681,Actual
Mary St,30/12/2013 20:00:00,258,239,Actual
Mary St,30/12/2013 21:00:00,159,163,Actual
Mary St,30/12/2013 22:00:00,87,113,Actual
Mary St,30/12/2013 23:00:00,47,44,Actual
Moore St,30/12/2013 00:00:00,18,18,Actual
Moore St,30/12/2013 01:00:00,9,14,Actual
Moore St,30/12/2013 02:00:00,23,16,Actual
Moore St,30/12/2013 03:00:00,12,20,Actual
Moore St,30/12/2013 04:00:00,27,14,Actual
Moore St,30/12/2013 05:00:00,141,35,Actual
Moore St,30/12/2013 06:00:00,181,47,Actual
Moore St,30/12/2013 07:00:00,197,96,Actual
Moore St,30/12/2013 08:00:00,202,114,Actual
Moore St,30/12/2013 09:00:00,362,230,Actual
Moore St,30/12/2013 10:00:00,586,610,Actual
Moore St,30/12/2013 11:00:00,925,938,Actual
Moore St,30/12/2013 12:00:00,1135,1307,Actual
Moore St,30/12/2013 13:00:00,1415,1582,Actual
Moore St,30/12/2013 14:00:00,1385,1579,Actual
Moore St,30/12/2013 15:00:00,1788,1948,Actual
Moore St,30/12/2013 16:00:00,1685,1932,Actual
Moore St,30/12/2013 17:00:00,1448,1726,Actual
Moore St,30/12/2013 18:00:00,935,1323,Actual
Moore St,30/12/2013 19:00:00,715,961,Actual
Moore St,30/12/2013 20:00:00,403,391,Actual
Moore St,30/12/2013 21:00:00,146,146,Actual
Moore St,30/12/2013 22:00:00,107,97,Actual
Moore St,30/12/2013 23:00:00,64,75,Actual
Capel St at Mullen,30/12/2013 00:00:00,40,24,Actual
Capel St at Mullen,30/12/2013 01:00:00,12,15,Actual
Capel St at Mullen,30/12/2013 02:00:00,5,30,Actual
Capel St at Mullen,30/12/2013 03:00:00,1,16,Actual
Capel St at Mullen,30/12/2013 04:00:00,1,8,Actual
Capel St at Mullen,30/12/2013 05:00:00,4,3,Actual
Capel St at Mullen,30/12/2013 06:00:00,24,13,Actual
Capel St at Mullen,30/12/2013 07:00:00,22,32,Actual
Capel St at Mullen,30/12/2013 08:00:00,46,34,Actual
Capel St at Mullen,30/12/2013 09:00:00,84,80,Actual
Capel St at Mullen,30/12/2013 10:00:00,145,166,Actual
Capel St at Mullen,30/12/2013 11:00:00,272,234,Actual
Capel St at Mullen,30/12/2013 12:00:00,364,392,Actual
Capel St at Mullen,30/12/2013 13:00:00,498,478,Actual
Capel St at Mullen,30/12/2013 14:00:00,512,436,Actual
Capel St at Mullen,30/12/2013 15:00:00,541,494,Actual
Capel St at Mullen,30/12/2013 16:00:00,443,430,Actual
Capel St at Mullen,30/12/2013 17:00:00,411,370,Actual
Capel St at Mullen,30/12/2013 18:00:00,346,255,Actual
Capel St at Mullen,30/12/2013 19:00:00,239,212,Actual
Capel St at Mullen,30/12/2013 20:00:00,137,134,Actual
Capel St at Mullen,30/12/2013 21:00:00,105,86,Actual
Capel St at Mullen,30/12/2013 22:00:00,52,63,Actual
Capel St at Mullen,30/12/2013 23:00:00,48,25,Actual
Dame Court,30/12/2013 00:00:00,108,181,Actual
Dame Court,30/12/2013 01:00:00,135,167,Actual
Dame Court,30/12/2013 02:00:00,146,185,Actual
Dame Court,30/12/2013 03:00:00,171,110,Actual
Dame Court,30/12/2013 04:00:00,87,92,Actual
Dame Court,30/12/2013 05:00:00,165,127,Actual
Dame Court,30/12/2013 06:00:00,130,114,Actual
Dame Court,30/12/2013 07:00:00,71,64,Actual
Dame Court,30/12/2013 08:00:00,70,59,Actual
Dame Court,30/12/2013 09:00:00,84,68,Actual
Dame Court,30/12/2013 10:00:00,59,55,Actual
Dame Court,30/12/2013 11:00:00,91,104,Actual
Dame Court,30/12/2013 12:00:00,210,263,Actual
Dame Court,30/12/2013 13:00:00,137,168,Actual
Dame Court,30/12/2013 14:00:00,174,247,Actual
Dame Court,30/12/2013 15:00:00,141,245,Actual
Dame Court,30/12/2013 16:00:00,211,260,Actual
Dame Court,30/12/2013 17:00:00,303,387,Actual
Dame Court,30/12/2013 18:00:00,235,368,Actual
Dame Court,30/12/2013 19:00:00,209,244,Actual
Dame Court,30/12/2013 20:00:00,189,299,Actual
Dame Court,30/12/2013 21:00:00,189,243,Actual
Dame Court,30/12/2013 22:00:00,159,216,Actual
Dame Court,30/12/2013 23:00:00,140,158,Actual
Grafton St at Card Gallery,30/12/2013 00:00:00,410,441,Actual
Grafton St at Card Gallery,30/12/2013 01:00:00,271,236,Actual
Grafton St at Card Gallery,30/12/2013 02:00:00,248,128,Actual
Grafton St at Card Gallery,30/12/2013 03:00:00,260,162,Actual
Grafton St at Card Gallery,30/12/2013 04:00:00,226,109,Actual
Grafton St at Card Gallery,30/12/2013 05:00:00,48,76,Actual
Grafton St at Card Gallery,30/12/2013 06:00:00,96,356,Actual
Grafton St at Card Gallery,30/12/2013 07:00:00,221,663,Actual
Grafton St at Card Gallery,30/12/2013 08:00:00,529,928,Actual
Grafton St at Card Gallery,30/12/2013 09:00:00,697,1070,Actual
Grafton St at Card Gallery,30/12/2013 10:00:00,1292,1510,Actual
Grafton St at Card Gallery,30/12/2013 11:00:00,2664,2672,Actual
Grafton St at Card Gallery,30/12/2013 12:00:00,3914,3886,Actual
Grafton St at Card Gallery,30/12/2013 13:00:00,3813,4111,Actual
Grafton St at Card Gallery,30/12/2013 14:00:00,4300,4680,Actual
Grafton St at Card Gallery,30/12/2013 15:00:00,4702,4680,Actual
Grafton St at Card Gallery,30/12/2013 16:00:00,4564,4862,Actual
Grafton St at Card Gallery,30/12/2013 17:00:00,4640,4648,Actual
Grafton St at Card Gallery,30/12/2013 18:00:00,3680,3456,Actual
Grafton St at Card Gallery,30/12/2013 19:00:00,2426,2198,Actual
Grafton St at Card Gallery,30/12/2013 20:00:00,1472,1662,Actual
Grafton St at Card Gallery,30/12/2013 21:00:00,1201,1289,Actual
Grafton St at Card Gallery,30/12/2013 22:00:00,762,781,Actual
Grafton St at Card Gallery,30/12/2013 23:00:00,712,791,Actual
Grafton St at M&S,30/12/2013 00:00:00,388,398,Actual
Grafton St at M&S,30/12/2013 01:00:00,318,222,Actual
Grafton St at M&S,30/12/2013 02:00:00,376,134,Actual
Grafton St at M&S,30/12/2013 03:00:00,291,124,Actual
Grafton St at M&S,30/12/2013 04:00:00,234,86,Actual
Grafton St at M&S,30/12/2013 05:00:00,71,117,Actual
Grafton St at M&S,30/12/2013 06:00:00,100,407,Actual
Grafton St at M&S,30/12/2013 07:00:00,225,745,Actual
Grafton St at M&S,30/12/2013 08:00:00,529,1344,Actual
Grafton St at M&S,30/12/2013 09:00:00,696,1250,Actual
Grafton St at M&S,30/12/2013 10:00:00,1327,1668,Actual
Grafton St at M&S,30/12/2013 11:00:00,2556,2714,Actual
Grafton St at M&S,30/12/2013 12:00:00,3566,3287,Actual
Grafton St at M&S,30/12/2013 13:00:00,2370,2351,Actual
Grafton St at M&S,30/12/2013 14:00:00,1956,2209,Actual
Grafton St at M&S,30/12/2013 15:00:00,2243,2519,Actual
Grafton St at M&S,30/12/2013 16:00:00,2063,2307,Actual
Grafton St at M&S,30/12/2013 17:00:00,1941,2026,Actual
Grafton St at M&S,30/12/2013 18:00:00,1755,1631,Actual
Grafton St at M&S,30/12/2013 19:00:00,1335,1093,Actual
Grafton St at M&S,30/12/2013 20:00:00,796,858,Actual
Grafton St at M&S,30/12/2013 21:00:00,721,562,Actual
Grafton St at M&S,30/12/2013 22:00:00,427,412,Actual
Grafton St at M&S,30/12/2013 23:00:00,374,434,Actual
O'Connell Street at Easons,30/12/2013 00:00:00,112,272,Actual
O'Connell Street at Easons,30/12/2013 01:00:00,40,203,Actual
O'Connell Street at Easons,30/12/2013 02:00:00,29,151,Actual
O'Connell Street at Easons,30/12/2013 03:00:00,6,104,Actual
O'Connell Street at Easons,30/12/2013 04:00:00,13,122,Actual
O'Connell Street at Easons,30/12/2013 05:00:00,45,32,Actual
O'Connell Street at Easons,30/12/2013 06:00:00,153,94,Actual
O'Connell Street at Easons,30/12/2013 07:00:00,280,234,Actual
O'Connell Street at Easons,30/12/2013 08:00:00,282,377,Actual
O'Connell Street at Easons,30/12/2013 09:00:00,444,472,Actual
O'Connell Street at Easons,30/12/2013 10:00:00,654,748,Actual
O'Connell Street at Easons,30/12/2013 11:00:00,1017,1267,Actual
O'Connell Street at Easons,30/12/2013 12:00:00,1391,1651,Actual
O'Connell Street at Easons,30/12/2013 13:00:00,1681,1915,Actual
O'Connell Street at Easons,30/12/2013 14:00:00,1868,2088,Actual
O'Connell Street at Easons,30/12/2013 15:00:00,1965,2142,Actual
O'Connell Street at Easons,30/12/2013 16:00:00,2122,2154,Actual
O'Connell Street at Easons,30/12/2013 17:00:00,2080,2027,Actual
O'Connell Street at Easons,30/12/2013 18:00:00,1587,1524,Actual
O'Connell Street at Easons,30/12/2013 19:00:00,1302,1249,Actual
O'Connell Street at Easons,30/12/2013 20:00:00,798,968,Actual
O'Connell Street at Easons,30/12/2013 21:00:00,489,705,Actual
O'Connell Street at Easons,30/12/2013 22:00:00,406,846,Actual
O'Connell Street at Easons,30/12/2013 23:00:00,227,648,Actual
Henry Street at Butlers,30/12/2013 00:00:00,44,53,Actual
Henry Street at Butlers,30/12/2013 01:00:00,23,24,Actual
Henry Street at Butlers,30/12/2013 02:00:00,10,22,Actual
Henry Street at Butlers,30/12/2013 03:00:00,11,23,Actual
Henry Street at Butlers,30/12/2013 04:00:00,20,41,Actual
Henry Street at Butlers,30/12/2013 05:00:00,65,55,Actual
Henry Street at Butlers,30/12/2013 06:00:00,93,104,Actual
Henry Street at Butlers,30/12/2013 07:00:00,111,287,Actual
Henry Street at Butlers,30/12/2013 08:00:00,210,552,Actual
Henry Street at Butlers,30/12/2013 09:00:00,408,996,Actual
Henry Street at Butlers,30/12/2013 10:00:00,952,1918,Actual
Henry Street at Butlers,30/12/2013 11:00:00,1533,2766,Actual
Henry Street at Butlers,30/12/2013 12:00:00,2261,3672,Actual
Henry Street at Butlers,30/12/2013 13:00:00,2827,3926,Actual
Henry Street at Butlers,30/12/2013 14:00:00,3222,3989,Actual
Henry Street at Butlers,30/12/2013 15:00:00,3388,3671,Actual
Henry Street at Butlers,30/12/2013 16:00:00,3561,3330,Actual
Henry Street at Butlers,30/12/2013 17:00:00,3335,2722,Actual
Henry Street at Butlers,30/12/2013 18:00:00,2840,1801,Actual
Henry Street at Butlers,30/12/2013 19:00:00,1617,917,Actual
Henry Street at Butlers,30/12/2013 20:00:00,549,421,Actual
Henry Street at Butlers,30/12/2013 21:00:00,299,258,Actual
Henry Street at Butlers,30/12/2013 22:00:00,206,173,Actual
Henry Street at Butlers,30/12/2013 23:00:00,105,83,Actual
South William St,30/12/2013 00:00:00,94,79,Actual
South William St,30/12/2013 01:00:00,44,34,Actual
South William St,30/12/2013 02:00:00,78,15,Actual
South William St,30/12/2013 03:00:00,74,9,Actual
South William St,30/12/2013 04:00:00,3,2,Actual
South William St,30/12/2013 05:00:00,2,1,Actual
South William St,30/12/2013 06:00:00,6,15,Actual
South William St,30/12/2013 07:00:00,19,29,Actual
South William St,30/12/2013 08:00:00,43,97,Actual
South William St,30/12/2013 09:00:00,65,121,Actual
South William St,30/12/2013 10:00:00,90,125,Actual
South William St,30/12/2013 11:00:00,171,235,Actual
South William St,30/12/2013 12:00:00,255,365,Actual
South William St,30/12/2013 13:00:00,360,525,Actual
South William St,30/12/2013 14:00:00,359,477,Actual
South William St,30/12/2013 15:00:00,406,536,Actual
South William St,30/12/2013 16:00:00,441,571,Actual
South William St,30/12/2013 17:00:00,478,483,Actual
South William St,30/12/2013 18:00:00,314,391,Actual
South William St,30/12/2013 19:00:00,233,243,Actual
South William St,30/12/2013 20:00:00,167,205,Actual
South William St,30/12/2013 21:00:00,132,112,Actual
South William St,30/12/2013 22:00:00,88,83,Actual
South William St,30/12/2013 23:00:00,100,62,Actual
Dublin BID,31/12/2013 00:00:00,113,150,Actual
Dublin BID,31/12/2013 01:00:00,36,58,Actual
Dublin BID,31/12/2013 02:00:00,15,38,Actual
Dublin BID,31/12/2013 03:00:00,9,25,Actual
Dublin BID,31/12/2013 04:00:00,5,14,Actual
Dublin BID,31/12/2013 05:00:00,35,14,Actual
Dublin BID,31/12/2013 06:00:00,177,58,Actual
Dublin BID,31/12/2013 07:00:00,554,248,Actual
Dublin BID,31/12/2013 08:00:00,1064,457,Actual
Dublin BID,31/12/2013 09:00:00,997,652,Actual
Dublin BID,31/12/2013 10:00:00,1188,804,Actual
Dublin BID,31/12/2013 11:00:00,1253,901,Actual
Dublin BID,31/12/2013 12:00:00,1436,1039,Actual
Dublin BID,31/12/2013 13:00:00,1778,1327,Actual
Dublin BID,31/12/2013 14:00:00,1658,1180,Actual
Dublin BID,31/12/2013 15:00:00,1669,1177,Actual
Dublin BID,31/12/2013 16:00:00,1633,1138,Actual
Dublin BID,31/12/2013 17:00:00,1828,1192,Actual
Dublin BID,31/12/2013 18:00:00,1568,966,Actual
Dublin BID,31/12/2013 19:00:00,1069,738,Actual
Dublin BID,31/12/2013 20:00:00,764,576,Actual
Dublin BID,31/12/2013 21:00:00,587,484,Actual
Dublin BID,31/12/2013 22:00:00,566,438,Actual
Dublin BID,31/12/2013 23:00:00,344,343,Actual
South King St,31/12/2013 00:00:00,192,119,Actual
South King St,31/12/2013 01:00:00,80,61,Actual
South King St,31/12/2013 02:00:00,34,17,Actual
South King St,31/12/2013 03:00:00,38,13,Actual
South King St,31/12/2013 04:00:00,8,8,Actual
South King St,31/12/2013 05:00:00,24,35,Actual
South King St,31/12/2013 06:00:00,66,28,Actual
South King St,31/12/2013 07:00:00,196,95,Actual
South King St,31/12/2013 08:00:00,201,173,Actual
South King St,31/12/2013 09:00:00,239,249,Actual
South King St,31/12/2013 10:00:00,336,389,Actual
South King St,31/12/2013 11:00:00,588,644,Actual
South King St,31/12/2013 12:00:00,1210,1140,Actual
South King St,31/12/2013 13:00:00,1077,1062,Actual
South King St,31/12/2013 14:00:00,1075,1048,Actual
South King St,31/12/2013 15:00:00,1221,1316,Actual
South King St,31/12/2013 16:00:00,1312,1296,Actual
South King St,31/12/2013 17:00:00,1196,1163,Actual
South King St,31/12/2013 18:00:00,867,1678,Actual
South King St,31/12/2013 19:00:00,723,1823,Actual
South King St,31/12/2013 20:00:00,474,1154,Actual
South King St,31/12/2013 21:00:00,442,672,Actual
South King St,31/12/2013 22:00:00,455,743,Actual
South King St,31/12/2013 23:00:00,427,531,Actual
South Great Georges,31/12/2013 00:00:00,304,262,Actual
South Great Georges,31/12/2013 01:00:00,84,157,Actual
South Great Georges,31/12/2013 02:00:00,51,100,Actual
South Great Georges,31/12/2013 03:00:00,37,63,Actual
South Great Georges,31/12/2013 04:00:00,34,18,Actual
South Great Georges,31/12/2013 05:00:00,20,21,Actual
South Great Georges,31/12/2013 06:00:00,24,51,Actual
South Great Georges,31/12/2013 07:00:00,38,151,Actual
South Great Georges,31/12/2013 08:00:00,106,153,Actual
South Great Georges,31/12/2013 09:00:00,178,166,Actual
South Great Georges,31/12/2013 10:00:00,279,243,Actual
South Great Georges,31/12/2013 11:00:00,403,345,Actual
South Great Georges,31/12/2013 12:00:00,585,506,Actual
South Great Georges,31/12/2013 13:00:00,603,765,Actual
South Great Georges,31/12/2013 14:00:00,617,730,Actual
South Great Georges,31/12/2013 15:00:00,659,877,Actual
South Great Georges,31/12/2013 16:00:00,709,917,Actual
South Great Georges,31/12/2013 17:00:00,598,934,Actual
South Great Georges,31/12/2013 18:00:00,448,820,Actual
South Great Georges,31/12/2013 19:00:00,519,680,Actual
South Great Georges,31/12/2013 20:00:00,581,780,Actual
South Great Georges,31/12/2013 21:00:00,555,704,Actual
South Great Georges,31/12/2013 22:00:00,550,707,Actual
South Great Georges,31/12/2013 23:00:00,620,521,Actual
Talbot St,31/12/2013 00:00:00,32,90,Actual
Talbot St,31/12/2013 01:00:00,16,57,Actual
Talbot St,31/12/2013 02:00:00,15,37,Actual
Talbot St,31/12/2013 03:00:00,9,40,Actual
Talbot St,31/12/2013 04:00:00,7,17,Actual
Talbot St,31/12/2013 05:00:00,5,10,Actual
Talbot St,31/12/2013 06:00:00,47,24,Actual
Talbot St,31/12/2013 07:00:00,209,118,Actual
Talbot St,31/12/2013 08:00:00,347,225,Actual
Talbot St,31/12/2013 09:00:00,280,190,Actual
Talbot St,31/12/2013 10:00:00,488,270,Actual
Talbot St,31/12/2013 11:00:00,486,473,Actual
Talbot St,31/12/2013 12:00:00,582,642,Actual
Talbot St,31/12/2013 13:00:00,435,707,Actual
Talbot St,31/12/2013 14:00:00,125,223,Actual
Talbot St,31/12/2013 15:00:00,373,800,Actual
Talbot St,31/12/2013 16:00:00,754,1074,Actual
Talbot St,31/12/2013 17:00:00,841,1343,Actual
Talbot St,31/12/2013 18:00:00,757,1059,Actual
Talbot St,31/12/2013 19:00:00,728,633,Actual
Talbot St,31/12/2013 20:00:00,696,525,Actual
Talbot St,31/12/2013 21:00:00,436,301,Actual
Talbot St,31/12/2013 22:00:00,205,152,Actual
Talbot St,31/12/2013 23:00:00,226,106,Actual
Mary St,31/12/2013 00:00:00,30,21,Actual
Mary St,31/12/2013 01:00:00,34,10,Actual
Mary St,31/12/2013 02:00:00,19,9,Actual
Mary St,31/12/2013 03:00:00,8,8,Actual
Mary St,31/12/2013 04:00:00,16,24,Actual
Mary St,31/12/2013 05:00:00,43,20,Actual
Mary St,31/12/2013 06:00:00,51,35,Actual
Mary St,31/12/2013 07:00:00,92,79,Actual
Mary St,31/12/2013 08:00:00,209,169,Actual
Mary St,31/12/2013 09:00:00,371,317,Actual
Mary St,31/12/2013 10:00:00,886,746,Actual
Mary St,31/12/2013 11:00:00,1452,1257,Actual
Mary St,31/12/2013 12:00:00,1979,1737,Actual
Mary St,31/12/2013 13:00:00,1938,1658,Actual
Mary St,31/12/2013 14:00:00,1902,1740,Actual
Mary St,31/12/2013 15:00:00,1691,1568,Actual
Mary St,31/12/2013 16:00:00,1809,1846,Actual
Mary St,31/12/2013 17:00:00,1541,1410,Actual
Mary St,31/12/2013 18:00:00,643,534,Actual
Mary St,31/12/2013 19:00:00,221,157,Actual
Mary St,31/12/2013 20:00:00,223,118,Actual
Mary St,31/12/2013 21:00:00,132,120,Actual
Mary St,31/12/2013 22:00:00,97,119,Actual
Mary St,31/12/2013 23:00:00,84,64,Actual
Moore St,31/12/2013 00:00:00,30,40,Actual
Moore St,31/12/2013 01:00:00,33,39,Actual
Moore St,31/12/2013 02:00:00,23,18,Actual
Moore St,31/12/2013 03:00:00,19,23,Actual
Moore St,31/12/2013 04:00:00,38,18,Actual
Moore St,31/12/2013 05:00:00,128,30,Actual
Moore St,31/12/2013 06:00:00,181,61,Actual
Moore St,31/12/2013 07:00:00,183,67,Actual
Moore St,31/12/2013 08:00:00,249,134,Actual
Moore St,31/12/2013 09:00:00,421,332,Actual
Moore St,31/12/2013 10:00:00,654,608,Actual
Moore St,31/12/2013 11:00:00,994,1011,Actual
Moore St,31/12/2013 12:00:00,1274,1264,Actual
Moore St,31/12/2013 13:00:00,1330,1532,Actual
Moore St,31/12/2013 14:00:00,1228,1386,Actual
Moore St,31/12/2013 15:00:00,1461,1544,Actual
Moore St,31/12/2013 16:00:00,1307,1628,Actual
Moore St,31/12/2013 17:00:00,980,1279,Actual
Moore St,31/12/2013 18:00:00,597,818,Actual
Moore St,31/12/2013 19:00:00,239,284,Actual
Moore St,31/12/2013 20:00:00,225,220,Actual
Moore St,31/12/2013 21:00:00,161,109,Actual
Moore St,31/12/2013 22:00:00,161,108,Actual
Moore St,31/12/2013 23:00:00,173,80,Actual
Capel St at Mullen,31/12/2013 00:00:00,26,42,Actual
Capel St at Mullen,31/12/2013 01:00:00,10,21,Actual
Capel St at Mullen,31/12/2013 02:00:00,2,15,Actual
Capel St at Mullen,31/12/2013 03:00:00,2,13,Actual
Capel St at Mullen,31/12/2013 04:00:00,2,9,Actual
Capel St at Mullen,31/12/2013 05:00:00,5,1,Actual
Capel St at Mullen,31/12/2013 06:00:00,24,6,Actual
Capel St at Mullen,31/12/2013 07:00:00,26,26,Actual
Capel St at Mullen,31/12/2013 08:00:00,44,43,Actual
Capel St at Mullen,31/12/2013 09:00:00,78,93,Actual
Capel St at Mullen,31/12/2013 10:00:00,184,193,Actual
Capel St at Mullen,31/12/2013 11:00:00,298,293,Actual
Capel St at Mullen,31/12/2013 12:00:00,410,391,Actual
Capel St at Mullen,31/12/2013 13:00:00,303,317,Actual
Capel St at Mullen,31/12/2013 14:00:00,352,344,Actual
Capel St at Mullen,31/12/2013 15:00:00,376,304,Actual
Capel St at Mullen,31/12/2013 16:00:00,322,321,Actual
Capel St at Mullen,31/12/2013 17:00:00,280,153,Actual
Capel St at Mullen,31/12/2013 18:00:00,184,159,Actual
Capel St at Mullen,31/12/2013 19:00:00,93,147,Actual
Capel St at Mullen,31/12/2013 20:00:00,138,132,Actual
Capel St at Mullen,31/12/2013 21:00:00,85,69,Actual
Capel St at Mullen,31/12/2013 22:00:00,75,60,Actual
Capel St at Mullen,31/12/2013 23:00:00,117,51,Actual
Dame Court,31/12/2013 00:00:00,110,123,Actual
Dame Court,31/12/2013 01:00:00,53,134,Actual
Dame Court,31/12/2013 02:00:00,28,38,Actual
Dame Court,31/12/2013 03:00:00,31,32,Actual
Dame Court,31/12/2013 04:00:00,0,10,Actual
Dame Court,31/12/2013 05:00:00,49,16,Actual
Dame Court,31/12/2013 06:00:00,13,10,Actual
Dame Court,31/12/2013 07:00:00,24,21,Actual
